Date,Temp
01-01-2010,28
01-02-2010,31
01-03-2010,38
01-04-2010,44
01-05-2010,44
01-06-2010,44
01-07-2010,39
01-08-2010,36
01-09-2010,35
01-10-2010,34
01-11-2010,30
01-12-2010,24
01-01-2011,23
01-02-2011,28
01-03-2011,35
01-04-2011,40
01-05-2011,43
01-06-2011,43
01-07-2011,37
01-08-2011,37
01-09-2011,36
01-10-2011,35
01-11-2011,32
01-12-2011,29
01-01-2012,27
01-02-2012,30
01-03-2012,36
01-04-2012,38
01-05-2012,45
01-06-2012,44
01-07-2012,43
01-08-2012,37
01-09-2012,36
01-10-2012,36
01-11-2012,30
01-12-2012,28
01-01-2013,24
01-02-2013,27
01-03-2013,34
01-04-2013,39
01-05-2013,45
01-06-2013,43
01-07-2013,38
01-08-2013,36
01-09-2013,37
01-10-2013,35
01-11-2013,30
01-12-2013,28
01-01-2014,24
01-02-2014,27
01-03-2014,34
01-04-2014,42
01-05-2014,43
01-06-2014,45
01-07-2014,41
01-08-2014,39
01-09-2014,37
01-10-2014,37
01-11-2014,32
01-12-2014,36
01-01-2015,21
01-02-2015,29
01-03-2015,36
01-04-2015,40
01-05-2015,45
01-06-2015,42
01-07-2015,39
01-08-2015,37
01-09-2015,38
01-10-2015,37
01-11-2015,31
01-12-2015,27
01-01-2016,25
01-02-2016,30
01-03-2016,36
01-04-2016,42
01-05-2016,43
01-06-2016,42
01-07-2016,37
01-08-2016,37
01-09-2016,37
01-10-2016,36
01-11-2016,32
01-12-2016,27
01-01-2017,25
01-02-2017,32
01-03-2017,38
01-04-2017,42
